
,,WORKING UNIT RATES - PRICING ATTACHMENT,,,,,RFx NO. 4000083770,,,,
,4000083770,201010302,Breakdown, تركيب عمود جهد منخفض فايبر جلاس في تربة صخرية," Erection of LV Fiber Glass pole, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger ))
تركيب عمود جهد منخفض نوعية فايبر جلاس ( أعمدة البوليمر المدعمة بالألياف الزجاجية ) ، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري  مثل الدقاق)  ",,EA,"1,242.00",SAR,,Unit Rate
,4000083770,201020000,Description,استبدال أعمدة الشبكات الهوائية,"REPLACEMENT OF OVERHEAD NETWORKS POLES    
      Replacement of existing poles in the same work location, including disconnection, dismantling, returning of removed materials to company’s warehouses, installation / erection of new materials,sagging and re-saging of conductors, clamping and installation / reinstallation of all other related materials such as lightning  arresters, and necessary reinstatement, disconnection / reconnection works ( excluding replacement of related accessories ) 
استبدال اعمدة الشبكات الهوائية
 استبدال أعمدة قائمة في نفس الموقع وما يلزم من أعمال فصل وإزالة المواد وإعادتها لمستودعات الشركة، وتركيب المواد الجديدة واعادة الوضع الى ما كان عليه من شد وترخيم (إرخاء) الموصلات والربط وتركيب / إعادة تركيب جميع الملحقات مثل مانعات الصواعق وغيرها شاملا اعمال الفصل والتوصيل (البند لا يشمل استبدال الملحقات)       ",,,,,,
,4000083770,201020100,Description,استبدال الأعمدة الحديدية,"REPLACEMENT OF OVERHEAD NETWORKS STEEL POLES 
استبدال الأعمدة الحديدية",,,,,,
,4000083770,201020101,Breakdown,استبدال عمود حديدي<=10م في تربة عادية / رملية,"Replacement of steel pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing
 استبدال عمود حديدي حتى ويشمل 10متر في تربة عادية / رملية، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"1,555.00",SAR,,Unit Rate
,4000083770,201020102,Breakdown,استبدال عمود حديدي<=10م في تربة صخرية,"Replacement of steel pole up to and including 10 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing
 استبدال عمود حديدي حتى ويشمل 10متر في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق)، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"1,787.00",SAR,,Unit Rate
,4000083770,201020103,Breakdown,استبدال عمود حديدي>10م<=15م في تربة عادية / رملية ,"Replacement of steel  pole above 10 meter up to and including 15 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing
  استبدال عمود حديدي أكبر من 10متر حتى ويشمل 15متر في تربة عادية / رملية، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"1,753.00",SAR,,Unit Rate
,4000083770,201020104,Breakdown,استبدال عمود حديدي>10م<=15م في تربة صخرية,"Replacement of steel  pole above 10 meter up to and including 15 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )), including disassembling / dismounting and reinstalling of pole-top assemblies and framing
  استبدال عمود حديدي أكبر من 10متر حتى ويشمل 15متر في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق)، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"2,099.00",SAR,,Unit Rate
,4000083770,201020105,Breakdown,استبدال عمود حديدي >15م<= 23م في تربة عادية / رملية ,"Replacement of steel pole more than 15 meter up to and including 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
استبدال عمود حديدي أكبر من 15متر حتى ويشمل 23 متر في تربة عادية / رملية، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"2,004.00",SAR,,Unit Rate
,4000083770,201020106,Breakdown,استبدال عمود حديدي >15م<= 23م في تربة صخرية,"Replacement of steel pole more than 15 meter up to and including 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
استبدال عمود حديدي أكبر من 15متر حتى ويشمل 23 متر في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق)، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"2,362.00",SAR,,Unit Rate
,4000083770,201020107,Breakdown,استبدال عمود حديدي>23م في تربة عادية / رملية,"Replacement of steel pole more than 23 meter in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
     استبدال عمود حديدي أكبر من 23متر في تربة عادية / رملية، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"2,390.00",SAR,,Unit Rate
,4000083770,201020108,Breakdown,استبدال عمود حديدي>23م في تربة صخرية,"Replacement of steel pole more than 23 meter in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
     استبدال عمود حديدي أكبر من 23متر في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق)، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"2,855.00",SAR,,Unit Rate
,4000083770,201020109,Breakdown, استبدال عمود حديدي ذاتي الدعم <= 15م في تربة عادية / رملية,"Replacement of self support steel pole up to and including 15 meter, in normal / sandy soil including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 استبدال عمود حديدي ذاتي الدعم حتى ويشمل 15 متر، في تربة عادية / رملية شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"1,780.00",SAR,,Unit Rate
,4000083770,201020110,Breakdown, استبدال عمود حديدي ذاتي الدعم <= 15م في تربة صخرية,"Replacement of self support steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 استبدال عمود حديدي ذاتي الدعم حتى ويشمل 15 متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق) شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"2,175.00",SAR,,Unit Rate
,4000083770,201020111,Breakdown,استبدال عمود خشبي بعمود حديدي<= 15م في تربة عادية / رملية," Replacement of wooden pole with steel pole up to and including 15 meter, in normal / sandy soil including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing         
 استبدال عمود خشبي بعمود حديدي حتى ويشمل 15 متر، في تربة عادية / رملية شاملا خرسانة العمود وفك واعادة تركيب متممات العمود والهيكلة",,EA,"1,599.00",SAR,,Unit Rate
,4000083770,201020112,Breakdown,استبدال عمود خشبي بعمود حديدي<= 15م في تربة صخرية," Replacement of wooden pole with steel pole up to and including 15 meter, in rocky soil ( that required the use of rocky excavtion equipment ( ie. Digger )) including supplying and casting of the concrete foundation and disassembling / dismounting and reinstalling of pole-top assemblies and framing         
 استبدال عمود خشبي بعمود حديدي حتى ويشمل 15 متر، في تربة صخرية (التي يستخدم فيها معدات الحفر الصخري مثل الدقاق) شاملا خرسانة العمود وفك واعادة تركيب متممات العمود والهيكلة",,EA,"1,898.00",SAR,,Unit Rate
,4000083770,201020200,Description,استبدال الأعمدة االخرسانية,"REPLACEMENT OF OVERHEAD NETWORKS CONCRETE POLES 
استبدال الأعمدة الخرسانية",,,,,,
,4000083770,201020201,Breakdown,استبدال عمود خرساني<=10م في تربه عادية / رملية,"Replacement of concrete pole up to and including 10 meter in normal / sandy soil, including disassembling / dismounting and reinstalling of pole-top assemblies and framing 
 استبدال عمود خرساني حتى ويشمل 10متر في تربه عادية / رملية، شاملاً فك واعادة تركيب متممات العمود والهيكلة",,EA,"1,547.00",SAR,,Unit Rate
